x,y,z,Index,10.0954277,9.96587204,10.33529979,
2212.5081200000004,521.24326,5114.85286,2017,21037.04123,3760.653306,55912.74672,59857.62159
2206.2785200000008,519.15806,5110.92586,2018,20952.55057,3821.825822,55853.45104,59776.44788
2200.3995200000004,537.00426,5129.97396,2019,21035.99534,3739.228675,55853.80657,59800.85818
2219.79592,521.27716,5119.71476,2020,20971.87928,3830.937619,55785.59773,59720.42127
2202.28152,536.85856,5121.50286,2021,21086.61583,3717.366541,55786.08659,59754.09306
2197.9621200000006,550.17006,5115.00126,2022,20932.91901,3626.87144,55850.12824,59754.31464
2208.14412,545.90186,5109.46066,2023,20955.15116,3741.324498,55959.71135,59871.57225
2186.9125200000003,543.18636,5125.08626,2024,20972.36992,3676.638015,55763.74373,59690.47732
2200.25212,525.50816,5119.40956,2025,20911.89629,3812.384155,55891.59139,59797.25468
2190.6501200000002,530.45806,5103.23776,2026,20849.42982,3853.798333,55891.01675,59777.55631
2187.17372,541.31966,5137.34796,2027,20755.03555,3832.89392,55830.29066,59686.54733
2204.0179200000007,528.32226,5103.45756,2028,20911.02606,3760.158999,55832.18926,59738.12153
2216.1927200000005,538.48016,5099.10946,2029,20758.85768,3743.016703,55995.02914,59836.30699
2214.2353200000002,552.01846,5107.77426,2030,20995.11694,4008.031165,55964.509,59907.30771
2216.04052,551.81316,5095.52116,2031,21128.69963,3851.643711,55857.28647,59843.90996
2225.6171200000003,558.22526,5113.74786,2032,21149.83138,3851.82509,55877.22739,59869.99637
2225.2769200000002,567.27356,5099.69946,2033,21169.41248,3850.818537,55818.99211,59822.51005
2229.5347200000006,558.05306,5104.36966,2034,21012.08735,3850.349145,55728.06731,59682.07846
2210.03072,575.76606,5109.93116,2035,21066.89139,3914.185538,55896.10792,59862.42262
2214.0059200000005,575.63856,5103.38946,2036,20954.15575,3915.860801,55962.32928,59884.83037
2212.187720000001,564.4520600000001,5111.69666,2037,21149.0924,3913.129155,55858.60732,59856.33384
2261.977520000001,559.60006,5084.21286,2038,20973.50666,3852.807725,55873.85395,59804.8465
2231.1605200000004,579.43726,5089.59296,2039,21191.33369,3985.656786,55919.1112,59932.50437
2255.0483200000003,571.22616,5100.31586,2040,21210.41001,4004.886933,55841.63985,59868.26667
2278.4905200000003,566.80806,5090.2973600000005,2041,21189.07029,3870.494158,55770.83685,59785.81494
2265.7005200000003,576.86676,5070.36046,2042,20933.29456,3936.510088,55962.2404,59878.80496
2285.6613200000006,563.64706,5088.49606,2043,21127.43367,4005.349349,55840.05235,59837.46923
2282.5165200000006,543.9565600000001,5079.64586,2044,21082.55949,3848.311124,55621.96409,59607.77384
2287.6463200000003,531.50556,5075.78106,2045,20993.20486,3831.267489,55815.31068,59755.68732
2311.3889200000003,504.55716,5073.94426,2046,20818.90932,3988.480117,55960.82757,59841.03258
2305.9943200000002,512.66386,5063.56696,2047,20994.25075,3852.692121,55874.25083,59812.48788
2334.8217200000004,494.95826,5061.96026,2048,20996.12648,3967.557766,56002.98112,59940.91037
2362.3185200000003,472.88436,5044.20126,2049,20871.91839,3855.019152,55979.36186,59868.08085
2364.3979200000003,482.20416,5048.15576,2050,20848.93918,4008.097937,55912.87074,59807.96125
2387.7705200000005,490.14846,5038.31606,2051,20994.14777,4007.288708,55915.64887,59861.27623
2383.581920000001,497.35326000000003,5036.45256,2052,21037.7681,4008.690906,56023.93491,59977.81733
2370.312720000001,481.97566,5035.9794600000005,2053,21057.72272,3873.918432,55944.15363,59901.44619
2381.6999200000005,497.49896,5044.92366,2054,20866.23467,3964.093629,55726.98314,59637.3242
2374.5805200000004,512.08156,5052.56186,2055,20932.90689,3936.213105,55942.69635,59860.38456
2386.0373200000004,515.24246,5061.32726,2056,20892.01839,3967.838803,55981.45269,59884.41552
2399.01852,530.39656,5047.61786,2057,20653.24941,3938.070743,55956.88258,59776.56581
2428.6157200000002,520.7628599999999,5035.74906,2058,20695.99547,3990.361674,56036.62252,59869.44361
2403.0585200000005,542.73576,5047.87346,2059,20931.1624,3934.876681,55854.74812,59777.50163
2436.9721200000004,547.72516,5050.47256,2060,20911.28854,3987.217441,55913.75338,59829.15433
2424.2231200000006,540.22576,5027.44586,2061,20952.77671,3986.986233,55914.54713,59844.39399
2434.8579200000004,544.58656,5046.60746,2062,21127.8072,3871.583428,55818.50635,59808.68705
